,method,dataset,runs,nb_samples,learning_streams,learning_rate,nb_trees,max_depth,use_dp,real_eps,alpha,rho,sigma,privacy_budget,train_auc_mean,train_auc_std,train_accuracy_mean,train_accuracy_std,train_untuned_accuracy_mean,train_untuned_accuracy_std,train_rmse_mean,train_rmse_std,test_auc_mean,test_auc_std,test_accuracy_mean,test_accuracy_std,test_untuned_accuracy_mean,test_untuned_accuracy_std,test_rmse_mean,test_rmse_std,r1,glc,gdf,bal_p,l2_thr,hess_l2_thr,Q,use_pf,pf_add,add_trees,pf_l2_thr,pf_hess_l2_thr,pf_Q_factor,lambda,feature_val_u_border,init_ratio,init_thr,newton,cyclical_fi,refine_splits,rs_rounds,rs_subsample,ignore_split_constraints,random_splits_from_candidates,lambda_reg_mode,cut_off_leaf_denom,reg_delta,min_samples_split,split_pb_ratio
465,xgboost,adult_size_48842,20,30162,0,0.3,200,6,0,0,0,0,0,0,0.916187,0.00629161,86.236,0.31118,86.1863,0.325393,0,0,0.91158,0.00798698,85.9194,0.78671,85.7569,0.818478,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
467,xgboost,adult_size_48842,20,30162,0,0.3,400,6,0,0,0,0,0,0,0.916325,0.00626603,86.2542,0.314,86.1954,0.30954,0,0,0.911645,0.00792346,85.9459,0.787405,85.7669,0.81607,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
468,xgboost,adult_size_48842,20,30162,0,0.3,200,3,0,0,0,0,0,0,0.913535,0.00367421,85.8025,0.146688,85.7553,0.131759,0,0,0.911289,0.00482126,85.6608,0.583794,85.5547,0.628452,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
469,xgboost,adult_size_48842,20,30162,0,0.1,50,6,0,0,0,0,0,0,0.5,0.0,24.8922,0.114633,75.1078,0.114633,0,0,0.5,0.0,24.8922,0.458498,75.1078,0.458498,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
471,xgboost,adult_size_48842,20,30162,0,0.2,10,5,0,0,0,0,0,0,0.5,0.0,24.8922,0.114633,75.1078,0.114633,0,0,0.5,0.0,24.8922,0.458498,75.1078,0.458498,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
472,xgboost,adult_size_48842,20,30162,0,0.3,5,2,0,0,0,0,0,0,0.5,0.0,24.8922,0.114633,75.1078,0.114633,0,0,0.5,0.0,24.8922,0.458498,75.1078,0.458498,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
473,xgboost,adult_size_48842,20,30162,0,0.3,400,5,0,0,0,0,0,0,0.914823,0.0047241,86.1539,0.165971,86.0951,0.15732,0,0,0.911078,0.00743837,85.8265,0.750083,85.6375,0.758765,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
474,xgboost,adult_size_48842,20,30162,0,0.1,400,5,0,0,0,0,0,0,0.915039,0.0054854,86.0603,0.272037,85.9426,0.32368,0,0,0.911302,0.00675058,85.863,0.685953,85.5779,0.747403,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
475,xgboost,adult_size_48842,20,30162,0,0.1,300,5,0,0,0,0,0,0,0.911755,0.00363133,85.7254,0.136925,85.6293,0.204764,0,0,0.908975,0.0054227,85.611,0.599669,85.3591,0.745457,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
477,xgboost,adult_size_48842,20,30162,0,0.2,50,5,0,0,0,0,0,0,0.5,0.0,24.8922,0.114633,75.1078,0.114633,0,0,0.5,0.0,24.8922,0.458498,75.1078,0.458498,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
478,xgboost,adult_size_48842,20,30162,0,0.1,150,6,0,0,0,0,0,0,0.499972,5.56833e-05,24.8922,0.114633,75.1078,0.114633,0,0,0.5,0.0,24.8922,0.458498,75.1078,0.458498,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
479,xgboost,adult_size_48842,20,30162,0,0.2,150,5,0,0,0,0,0,0,0.909097,0.00317322,85.5878,0.145336,85.4486,0.128647,0,0,0.9067,0.00490217,85.3723,0.522953,85.1966,0.565525,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
481,xgboost,adult_size_48842,20,30162,0,0.2,300,6,0,0,0,0,0,0,0.918101,0.005323,86.2924,0.285168,86.2202,0.317066,0,0,0.913854,0.00631695,85.9492,0.754216,85.7768,0.744634,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
482,xgboost,adult_size_48842,20,30162,0,0.1,200,5,0,0,0,0,0,0,0.892874,0.00105939,84.7847,0.102761,82.6247,0.289647,0,0,0.890814,0.0033463,84.6695,0.469633,82.5608,0.646533,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
484,xgboost,adult_size_48842,20,30162,0,0.1,25,2,0,0,0,0,0,0,0.5,0.0,24.8922,0.114633,75.1078,0.114633,0,0,0.5,0.0,24.8922,0.458498,75.1078,0.458498,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
487,xgboost,adult_size_48842,20,30162,0,0.2,10,5,0,0,0,0,0,0,0.5,0.0,24.8922,0.114633,75.1078,0.114633,0,0,0.5,0.0,24.8922,0.458498,75.1078,0.458498,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
491,xgboost,adult_size_48842,20,30162,0,0.3,500,6,0,0,0,0,0,0,0.916363,0.00627223,86.26,0.310616,86.2003,0.309799,0,0,0.911651,0.00799423,85.9525,0.788964,85.7768,0.82282,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
492,xgboost,adult_size_48842,20,30162,0,0.2,50,3,0,0,0,0,0,0,0.5,0.0,24.8922,0.114633,75.1078,0.114633,0,0,0.5,0.0,24.8922,0.458498,75.1078,0.458498,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
493,xgboost,adult_size_48842,20,30162,0,0.1,200,2,0,0,0,0,0,0,0.890528,0.00139578,84.6719,0.0840379,82.3868,0.303874,0,0,0.889376,0.00325159,84.6164,0.43252,82.3686,0.576648,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
497,xgboost,adult_size_48842,20,30162,0,0.2,200,3,0,0,0,0,0,0,0.913093,0.00373872,85.7677,0.148258,85.6284,0.15536,0,0,0.911248,0.00488518,85.6906,0.529639,85.4651,0.566195,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
500,xgboost,adult_size_48842,20,30162,0,0.3,600,6,0,0,0,0,0,0,0.916924,0.00626538,86.3338,0.273765,86.2368,0.311179,0,0,0.91169,0.00683989,85.9028,0.636785,85.747,0.749133,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
502,xgboost,adult_size_48842,20,30162,0,0.1,10,5,0,0,0,0,0,0,0.5,0.0,24.8922,0.114633,75.1078,0.114633,0,0,0.5,0.0,24.8922,0.458498,75.1078,0.458498,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
503,xgboost,adult_size_48842,20,30162,0,0.1,300,2,0,0,0,0,0,0,0.907017,0.00249487,85.1767,0.124657,85.0656,0.155018,0,0,0.906333,0.00367897,85.1767,0.462743,84.9214,0.581284,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
504,xgboost,adult_size_48842,20,30162,0,0.2,25,2,0,0,0,0,0,0,0.5,0.0,24.8922,0.114633,75.1078,0.114633,0,0,0.5,0.0,24.8922,0.458498,75.1078,0.458498,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
505,xgboost,adult_size_48842,20,30162,0,0.2,25,3,0,0,0,0,0,0,0.5,0.0,24.8922,0.114633,75.1078,0.114633,0,0,0.5,0.0,24.8922,0.458498,75.1078,0.458498,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
506,xgboost,adult_size_48842,20,30162,0,0.3,200,2,0,0,0,0,0,0,0.914197,0.000315369,85.7097,0.0586894,85.6293,0.0921922,0,0,0.912162,0.00457479,85.6176,0.669483,85.359,0.727384,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
507,xgboost,adult_size_48842,20,30162,0,0.1,150,2,0,0,0,0,0,0,0.5,0.0,24.8922,0.114633,75.1078,0.114633,0,0,0.5,0.0,24.8922,0.458498,75.1078,0.458498,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
509,xgboost,adult_size_48842,20,30162,0,0.3,5,2,0,0,0,0,0,0,0.5,0.0,24.8922,0.114633,75.1078,0.114633,0,0,0.5,0.0,24.8922,0.458498,75.1078,0.458498,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
511,xgboost,adult_size_48842,20,30162,0,0.1,200,6,0,0,0,0,0,0,0.892777,0.00163027,84.7988,0.119783,82.5675,0.351736,0,0,0.89094,0.00327938,84.7159,0.491326,82.5376,0.731544,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
512,xgboost,adult_size_48842,20,30162,0,0.3,200,6,0,0,0,0,0,0,0.916882,0.00628276,86.3313,0.275586,86.236,0.313681,0,0,0.911717,0.00687766,85.9094,0.627096,85.747,0.749133,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
514,xgboost,adult_size_48842,20,30162,0,0.3,300,6,0,0,0,0,0,0,0.916265,0.00631184,86.2476,0.314792,86.1921,0.310046,0,0,0.911615,0.00796028,85.9293,0.803617,85.7635,0.820684,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
